entityName,entityType,holeID,startXLocation,startYLocation,startZLocation,endXLocation,endYLocation,endZLocation,gradeXLocation, gradeYLocation, gradeZLocation, subdrillAmount, subdrillLength, benchHeight, holeDiameter,holeType,fromHoleID,timingDelayMilliseconds,colorHexDecimal,holeLengthCalculated,holeAngle,holeBearing,initiationTime,measuredLength,measuredLengthTimeStamp,measuredMass,measuredMassTimeStamp,measuredComment,measuredCommentTimeStamp, rowID, posID, burden, spacing, connectorCurve
ISEE_OTHER,hole,1,478746.0540,6772335.0820,405.581,478746.0540,6772335.0800,392.5000,478746.0540,6772335.0802,394.0000,1.5000,0.0000,11.5810,165.0000,contour,ISEE_OTHER:::2,42,#888888,13.0810,0.0088,180.0000,630,12.8194,9/05/2025 7:00,178.0000,9/05/1975 0:00,None,9/05/1975 0:00,1,1,0,0,0
ISEE_OTHER,hole,2,478750.4380,6772336.4740,405.429,478750.4380,6772336.4700,392.5000,478750.4380,6772336.4705,394.0000,1.5000,0.0000,11.4290,165.0000,contour,ISEE_OTHER:::3,42,#888888,12.9290,0.0177,180.0000,588,11.6361,9/05/2025 7:06,176.0000,9/05/1975 0:00,None,9/05/1975 0:00,1,2,0,0,0
ISEE_OTHER,hole,3,478754.8220,6772337.8670,404.405,478754.8220,6772337.8700,392.5000,478754.8220,6772337.8696,394.0000,1.5000,0.0000,10.4050,165.0000,contour,ISEE_OTHER:::4,42,#888888,11.9050,0.0144,0.0000,546,11.0716,9/05/2025 7:12,162.0000,9/05/1975 0:00,None,9/05/1975 0:00,1,3,0,0,0
ISEE_OTHER,hole,4,478759.2060,6772339.2600,403.576,478759.2060,6772339.2600,392.5000,478759.2060,6772339.2600,394.0000,1.5000,0.0000,9.5760,165.0000,contour,ISEE_OTHER:::5,42,#888888,11.0760,0.0000,90.0000,504,11.1868,9/05/2025 7:18,151.0000,9/05/1975 0:00,None,9/05/1975 0:00,1,4,0,0,0
ISEE_OTHER,hole,5,478763.5900,6772340.6530,403.063,478763.5900,6772340.6500,392.5000,478763.5900,6772340.6504,394.0000,1.5000,0.0000,9.0630,165.0000,contour,ISEE_OTHER:::6,42,#888888,10.5630,0.0163,180.0000,462,10.3517,9/05/2025 7:24,144.0000,9/05/1975 0:00,None,9/05/1975 0:00,1,5,0,0,0
ISEE_OTHER,hole,6,478767.9740,6772342.0450,402.48,478767.9740,6772342.0500,392.5000,478767.9740,6772342.0492,394.0000,1.5000,0.0000,8.4800,165.0000,contour,ISEE_OTHER:::7,42,#888888,9.9800,0.0287,0.0000,420,9.0818,9/05/2025 7:30,136.0000,9/05/1975 0:00,None,9/05/1975 0:00,1,6,0,0,0
ISEE_OTHER,hole,7,478772.3580,6772343.4380,401.594,478772.3580,6772343.4400,392.5000,478772.3580,6772343.4397,394.0000,1.5000,0.0000,7.5940,165.0000,contour,ISEE_OTHER:::8,42,#888888,9.0940,0.0126,0.0000,378,8.5484,9/05/2025 7:36,124.0000,9/05/1975 0:00,None,9/05/1975 0:00,1,7,0,0,0
ISEE_OTHER,hole,8,478776.7430,6772344.8310,400.58,478776.7430,6772344.8300,392.5000,478776.7430,6772344.8302,394.0000,1.5000,0.0000,6.5800,165.0000,contour,ISEE_OTHER:::9,42,#888888,8.0800,0.0071,180.0000,336,7.8376,9/05/2025 7:42,110.0000,9/05/1975 0:00,None,9/05/1975 0:00,1,8,0,0,0
ISEE_OTHER,hole,9,478781.1270,6772346.2240,399.633,478781.1270,6772346.2200,392.5000,478781.1270,6772346.2208,394.0000,1.5000,0.0000,5.6330,165.0000,contour,ISEE_OTHER:::10,42,#888888,7.1330,0.0321,180.0000,294,6.4197,9/05/2025 7:48,97.0000,9/05/1975 0:00,None,9/05/1975 0:00,1,9,0,0,0
ISEE_OTHER,hole,10,478785.5110,6772347.6170,398.961,478785.5110,6772347.6200,392.5000,478785.5110,6772347.6193,394.0000,1.5000,0.0000,4.9610,165.0000,contour,ISEE_OTHER:::11,42,#888888,6.4610,0.0266,0.0000,252,6.3964,9/05/2025 7:54,88.0000,9/05/1975 0:00,None,9/05/1975 0:00,1,10,0,0,0
